Title,Published_date,Views,Likes,Dislikes,Comments,Month
M2 MacBook Air Review: More Than a Refresh!,7/18/2022,6964127,175431,0,6365,Jul
Nothing Phone (1) Review: Seeing Through the Hype!,7/15/2022,6446439,199960,0,7503,Jul
iOS 16 Hands-On: Top 5 New Features!,7/11/2022,10323048,321470,0,10041,Jul
The World's Largest Smartphone Camera! Xiaomi 12S Ultra,7/8/2022,3362569,122231,0,4558,Jul
ROG Phone 6 Pro Review: Daily Driver Material!,7/5/2022,2712302,109032,0,4619,Jul
Reviewing MKBHD Videos!,7/2/2022,2584100,119388,0,3909,Jul
M2 MacBook Pro: Why Does This Exist?,6/29/2022,3064515,107400,0,4830,Jun
Ford F150 Lightning is the iPhone of Pickup Trucks!,6/24/2022,3558137,121264,0,6437,Jun
The Nothing Phone LOOKS Different,6/21/2022,8296790,308626,0,14314,Jun
This Was Ahead of its Time!,6/11/2022,5485693,179846,0,6274,Jun
M2 MacBook Air Impressions: Midnight Madness!,6/8/2022,5669772,154973,0,6619,Jun
WWDC 2022 Impressions: M2 Macs and iOS 16?!,6/7/2022,4869325,288654,0,7159,Jun
The Future of Smartphone Cameras? Sony Xperia 1 IV!,5/24/2022,2798909,104982,0,4135,May
DALLE: AI Made This Thumbnail!,5/16/2022,2706047,142443,0,6109,May
"Sony WH-1000XM5 Review: Two Steps Forward, One Step Back!",5/12/2022,5593936,177911,0,7337,May
"Pixel Watch, Pixel 7 and Google's Hardware Reveal 2022!",5/11/2022,2703067,104097,0,5954,May
What Happens When the iPhone Peaks?,4/30/2022,4270986,157633,0,10100,Apr
David Blaine Teaches Me Magic!,4/25/2022,1276066,63280,0,1872,Apr
Ford's Coolest Electric Truck is from 1978!,4/18/2022,1645802,96650,0,4256,Apr
I Gave the Pixel Another Chance...,4/14/2022,3062902,114897,0,6598,Apr
The SteamDeck is Incomplete But Fun!,4/11/2022,2646805,98529,0,5215,Apr
YouTube Needs to Fix This,4/2/2022,3050297,193648,0,14706,Apr
The Electric Car Pre-Order Problem,3/30/2022,2463206,114704,0,6818,Mar
Does Fast Charging ACTUALLY Ruin Your Battery?,3/25/2022,7865586,323229,0,13718,Mar
"""The Apple Studio Display is a Bad Deal""",3/22/2022,5303082,155968,0,10044,Mar
Mac Studio Review: Double Trouble!,3/18/2022,4038435,136532,0,4795,Mar
iPad Air M1 Review: Don't Choose Wrong!,3/16/2022,6479015,175075,0,5153,Mar
iPhone SE (2022) Review: Old Dog. New Trick.,3/14/2022,4242285,144166,0,10074,Mar
The Green iPhone 13 in 59 seconds!,3/11/2022,4928888,251857,0,2552,Mar
NEW Mac Studio & Apple Event Reactions!,3/9/2022,3125884,134082,0,7107,Mar
Dope Tech: Weirdest Earbuds I've Ever Tried!,3/2/2022,2924513,126427,0,3794,Mar
Galaxy Tab S8 Ultra: A Monster Tablet!,2/25/2022,6313807,170417,0,7158,Feb
Galaxy S22 Ultra Review: Separating from the Pack!,2/22/2022,5955799,158958,0,6926,Feb
Galaxy S22 Review: The iPhone of Android!,2/18/2022,7825288,221458,0,13615,Feb
On New Cybertruck Updates from Drone Footage...,2/17/2022,2201411,93341,0,2833,Feb
Galaxy S22 Ultra Impressions: It's a Note!,2/9/2022,3411979,137272,0,6535,Feb
Galaxy S22 Impressions: 1 Real Downgrade!,2/9/2022,2687229,99531,0,4609,Feb
An Announcement!,2/1/2022,2734282,133956,0,4261,Feb
OnePlus 10 Pro Impressions: What Happened?,1/28/2022,4236566,118479,0,8960,Jan
Blue Bubbles vs Green Bubbles: Explained!,1/24/2022,5940232,240479,0,23693,Jan
When Tech Companies Lie to Us...,1/13/2022,4296903,182219,0,8610,Jan
My Everyday Tech: 2022!,1/7/2022,5425649,150761,0,4835,Jan
2022 Tech I'm Ready For!,1/5/2022,2955156,111797,0,4767,Jan
"Galaxy S21 FE Impressions: Great Phone, Odd Price!",1/4/2022,3609262,118710,0,6101,Jan
Rewind: Best Gadgets of 2021!,12/29/2021,2959086,92834,0,3233,Dec
Tech Rewind 2021!,12/26/2021,1909910,87030,0,2830,Dec
